@relation 'HR_comma_sep-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,3-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,10,9-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,9,10,8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,7,8,9,10,6-weka.filters.unsupervised.attribute.NumericToNominal-R5,6,10'

@attribute satisfaction_level numeric
@attribute last_evaluation numeric
@attribute average_montly_hours numeric
@attribute time_spend_company numeric
@attribute Work_accident {0,1}
@attribute promotion_last_5years {0,1}
@attribute number_project numeric
@attribute salary {low,medium,high}
@attribute sales {sales,accounting,hr,technical,support,management,IT,product_mng,marketing,RandD}
@attribute left {0,1}

@data
0.64,0.38,122,4,0,0,5,low,sales,0
0.64,0.38,122,4,0,0,5,low,sales,0
0.74,0.38,126,3,0,0,2,medium,sales,0
0.44,0.38,128,2,0,0,4,low,support,0
0.52,0.38,132,4,0,0,3,medium,support,0
0.48,0.38,134,3,0,0,3,medium,product_mng,0
0.39,0.38,135,2,0,0,4,high,product_mng,0
0.42,0.38,139,4,0,0,2,medium,technical,0
0.28,0.38,139,4,0,0,5,medium,support,0
0.98,0.38,140,6,0,0,4,medium,accounting,0
0.46,0.38,140,3,0,0,6,high,technical,0
0.41,0.38,142,10,1,0,4,low,support,0
0.41,0.38,142,10,1,0,4,low,support,0
0.66,0.38,145,5,0,0,4,medium,technical,0
0.46,0.38,165,3,0,0,6,low,accounting,0
0.52,0.38,169,3,0,0,6,low,accounting,0
0.64,0.38,171,6,1,1,5,high,accounting,0
0.31,0.38,173,2,0,0,3,low,technical,0
0.5,0.38,175,4,0,0,5,high,technical,0
0.87,0.38,183,5,0,0,4,medium,support,0
0.33,0.38,186,3,0,0,4,medium,support,0
0.29,0.38,191,5,0,0,5,medium,management,0
0.29,0.38,191,5,0,0,5,medium,management,0
0.44,0.38,197,2,0,0,3,medium,sales,0
0.58,0.38,203,5,0,0,4,low,sales,0
0.58,0.38,203,5,0,0,4,low,sales,0
0.97,0.38,211,7,1,0,5,medium,sales,0
0.97,0.38,211,7,1,0,5,medium,sales,0
0.2,0.38,212,6,0,0,6,high,sales,0
0.8,0.38,215,6,0,0,3,low,support,0
0.64,0.38,215,3,0,0,6,medium,IT,0
0.62,0.38,257,3,0,0,3,medium,technical,0
0.61,0.38,268,3,0,0,2,low,sales,0
0.64,0.38,269,5,0,0,2,low,technical,0
0.7,0.38,270,2,0,0,4,low,RandD,0
0.21,0.38,275,5,0,0,3,low,support,0
0.43,0.38,278,3,1,0,2,low,sales,0
0.91,0.38,279,5,0,0,5,low,sales,0
0.4,0.38,280,2,0,0,3,low,marketing,0
0.36,0.39,98,3,0,0,3,low,technical,0
0.33,0.39,98,3,1,0,3,low,RandD,0
0.61,0.39,99,2,0,0,3,low,support,0
0.26,0.39,99,4,0,0,3,medium,IT,0
0.29,0.39,105,6,0,0,6,medium,technical,0
0.29,0.39,105,6,0,0,6,medium,technical,0
0.56,0.39,106,8,0,0,3,high,management,0
0.56,0.39,106,8,0,0,3,high,management,0
0.72,0.39,111,5,0,0,5,low,support,0
0.21,0.39,118,4,0,0,2,medium,sales,0
0.39,0.39,131,2,0,0,2,high,marketing,0
0.57,0.39,132,3,0,0,4,high,product_mng,0
0.57,0.39,132,3,0,0,4,high,product_mng,0
0.21,0.39,132,5,0,0,6,medium,accounting,0
0.51,0.39,132,6,1,1,5,low,technical,0
0.51,0.39,132,6,1,1,5,low,technical,0
0.34,0.39,136,3,0,0,2,medium,sales,0
0.57,0.39,145,3,0,0,2,medium,sales,0
0.51,0.39,149,3,0,0,3,low,marketing,0
0.24,0.39,152,5,0,0,4,high,product_mng,0
0.24,0.39,158,2,0,0,5,medium,sales,0
0.98,0.39,158,4,1,0,5,medium,product_mng,0
0.12,0.39,161,4,0,0,5,low,IT,0
0.45,0.39,167,3,0,0,2,medium,support,0
0.3,0.39,175,3,0,0,3,medium,sales,0
0.18,0.39,177,6,0,0,2,medium,sales,0
0.44,0.39,188,3,0,0,2,low,technical,0
0.59,0.39,190,5,0,0,4,medium,sales,0
0.89,0.39,190,3,1,0,6,medium,RandD,0
0.57,0.39,193,6,0,0,3,medium,sales,0
0.27,0.39,193,4,0,0,4,medium,technical,0
0.3,0.39,193,3,1,0,3,low,IT,0
0.43,0.39,198,5,0,0,5,medium,RandD,0
0.59,0.39,200,4,0,0,5,medium,product_mng,0
0.59,0.39,200,4,0,0,5,medium,product_mng,0
0.67,0.39,207,7,0,0,2,medium,sales,0
0.67,0.39,207,7,0,0,2,medium,sales,0
1,0.39,210,5,0,0,2,low,sales,0
0.99,0.39,214,5,1,0,6,low,sales,0
0.47,0.39,215,5,0,0,6,medium,sales,0
0.89,0.39,218,2,0,0,5,low,technical,0
0.89,0.39,218,2,0,0,5,low,technical,0
0.15,0.39,229,4,0,0,5,low,sales,0
0.67,0.39,235,6,0,0,2,low,RandD,0
0.85,0.39,239,4,0,0,4,low,support,0
0.52,0.39,246,4,0,0,6,medium,sales,0
0.72,0.39,257,3,0,0,3,low,technical,0
0.71,0.39,261,3,0,0,3,medium,RandD,0
0.56,0.39,263,4,0,0,5,medium,marketing,0
0.48,0.39,272,3,0,0,4,low,marketing,0
0.45,0.39,275,3,0,0,4,medium,IT,0
0.7,0.39,285,4,0,0,6,low,sales,0
0.36,0.4,105,3,0,0,2,low,RandD,0
0.5,0.4,108,2,0,0,2,medium,technical,0
0.23,0.4,110,4,1,0,6,low,marketing,0
0.47,0.4,113,3,0,0,3,high,marketing,0
0.36,0.4,114,4,1,0,4,low,technical,0
0.44,0.4,120,6,0,0,3,low,technical,0
0.76,0.4,122,5,0,0,2,low,sales,0
0.65,0.4,125,4,0,0,5,low,sales,0
0.65,0.4,125,4,0,0,5,low,sales,0
0.35,0.4,130,3,0,0,3,low,product_mng,0
0.32,0.4,132,3,0,0,2,low,technical,0
0.29,0.4,138,4,0,0,4,low,sales,0
0.55,0.4,139,8,0,1,3,medium,hr,0
0.55,0.4,139,8,0,1,3,medium,hr,0
0.65,0.4,141,2,0,0,2,low,IT,0
0.46,0.4,145,2,0,0,3,medium,support,0
0.78,0.4,145,5,1,1,4,medium,sales,0
0.78,0.4,145,5,1,1,4,medium,sales,0
0.6,0.4,146,4,1,0,3,low,technical,0
0.49,0.4,148,2,1,1,2,high,management,0
0.49,0.4,148,2,1,1,2,high,management,0
0.91,0.4,153,3,0,0,6,low,technical,0
0.66,0.4,155,5,1,0,2,medium,support,0
0.55,0.4,158,3,0,0,3,low,hr,0
0.55,0.4,158,3,0,0,3,low,hr,0
0.62,0.4,158,8,1,0,3,low,marketing,0
0.62,0.4,158,8,1,0,3,low,marketing,0
0.36,0.4,160,3,0,0,3,medium,accounting,0
0.42,0.4,160,2,0,0,3,low,technical,0
0.37,0.4,161,2,0,0,4,low,support,0
0.32,0.4,162,5,0,0,6,low,technical,0
0.78,0.4,174,3,0,0,6,medium,technical,0
0.63,0.4,177,2,1,0,6,medium,sales,0
0.5,0.4,180,4,0,0,3,medium,sales,0
0.41,0.4,194,2,0,0,2,low,sales,0
0.8,0.4,199,4,1,0,5,high,support,0
0.29,0.4,205,3,0,0,6,medium,technical,0
0.77,0.4,207,5,0,0,4,low,support,0
0.33,0.4,212,2,1,0,4,low,accounting,0
0.53,0.4,212,3,1,0,5,medium,technical,0
0.68,0.4,213,5,1,1,3,low,sales,0
0.68,0.4,213,5,1,1,3,low,sales,0
0.33,0.4,214,6,0,0,6,medium,marketing,0
0.55,0.4,219,4,0,0,5,medium,IT,0
0.15,0.4,236,5,0,0,3,medium,hr,0
0.92,0.4,238,3,0,0,2,low,accounting,0
0.76,0.4,245,5,0,0,2,medium,product_mng,0
0.84,0.4,246,3,0,0,4,low,sales,0
0.64,0.4,248,3,0,0,3,medium,product_mng,0
0.56,0.4,255,3,0,0,2,medium,sales,0
0.97,0.4,258,4,1,0,4,medium,technical,0
0.21,0.4,262,3,0,0,3,low,support,0
0.67,0.4,274,3,0,0,4,low,sales,0
0.67,0.4,274,3,0,0,4,low,sales,0
0.65,0.4,277,2,0,0,2,medium,technical,0
0.17,0.4,286,3,0,0,4,low,support,0
0.95,0.4,286,4,0,0,5,low,support,0
0.37,0.41,101,3,0,0,6,low,product_mng,0
0.61,0.41,103,2,0,0,3,high,technical,0
0.68,0.41,106,6,0,0,3,low,sales,0
0.51,0.41,106,5,0,0,6,medium,sales,0
0.71,0.41,107,4,0,0,5,medium,technical,0
0.37,0.41,113,3,0,1,2,medium,RandD,0
0.37,0.41,113,3,0,1,2,medium,RandD,0
0.14,0.41,114,3,0,0,6,low,sales,0
0.39,0.41,115,3,0,0,6,low,sales,0
0.44,0.41,125,7,0,0,3,medium,sales,0
0.44,0.41,125,7,0,0,3,medium,sales,0
0.4,0.41,127,3,0,0,4,low,IT,0
0.55,0.41,132,5,1,0,4,medium,support,0
0.25,0.41,133,6,1,0,3,low,sales,0
0.97,0.41,135,6,0,0,5,medium,sales,0
0.97,0.41,135,6,0,0,5,medium,sales,0
0.61,0.41,138,3,0,0,3,low,support,0
0.32,0.41,138,3,1,0,3,medium,technical,0
0.59,0.41,139,3,0,0,4,low,accounting,0
0.47,0.41,140,3,0,0,2,medium,hr,0
0.34,0.41,141,3,0,0,2,medium,technical,0
0.56,0.41,142,3,0,0,6,medium,product_mng,0
0.37,0.41,146,2,0,0,2,medium,support,0
0.46,0.41,148,4,0,0,6,low,sales,0
0.53,0.41,148,2,1,0,2,medium,sales,0
0.56,0.41,152,3,0,0,5,medium,sales,0
0.56,0.41,152,3,0,0,5,medium,sales,0
0.35,0.41,157,2,0,0,3,low,support,0
0.51,0.41,164,4,0,0,2,medium,sales,0
0.36,0.41,167,10,0,0,3,low,support,0
0.36,0.41,167,10,0,0,3,low,support,0
1,0.41,174,3,0,0,4,low,technical,0
0.54,0.41,175,3,0,0,3,medium,sales,0
0.54,0.41,175,3,0,0,3,medium,sales,0
0.63,0.41,180,5,1,0,3,medium,marketing,0
0.8,0.41,185,4,0,0,6,medium,support,0
0.8,0.41,188,4,0,0,3,high,sales,0
0.43,0.41,190,3,0,0,4,medium,product_mng,0
0.45,0.41,193,2,1,0,3,low,sales,0
0.56,0.41,194,2,0,0,2,medium,sales,0
0.75,0.41,196,4,0,0,5,low,sales,0
0.33,0.41,198,4,0,0,2,medium,technical,0
0.33,0.41,198,4,0,0,2,medium,technical,0
0.45,0.41,216,6,1,0,3,medium,RandD,0
0.87,0.41,219,3,1,0,3,low,IT,0
0.85,0.41,229,6,0,0,2,medium,technical,0
0.64,0.41,231,6,0,0,3,medium,technical,0
0.73,0.41,231,6,1,0,2,medium,sales,0
0.4,0.41,232,3,0,0,3,medium,technical,0
0.17,0.41,232,3,1,0,4,medium,RandD,0
0.42,0.41,240,2,0,0,5,medium,technical,0
0.35,0.41,244,3,0,0,6,low,technical,0
0.74,0.41,250,4,0,0,4,low,RandD,0
0.68,0.41,254,5,0,0,4,low,product_mng,0
0.84,0.41,255,6,1,0,6,medium,sales,0
0.31,0.41,263,3,0,0,2,medium,management,0
0.2,0.41,264,3,0,0,6,medium,sales,0
0.52,0.41,283,3,0,0,3,low,IT,0
0.48,0.41,286,3,0,0,5,high,support,0
0.15,0.42,98,3,0,0,3,low,sales,0
0.77,0.42,98,2,0,0,4,low,sales,0
0.32,0.42,99,4,0,0,2,low,technical,0
0.96,0.42,101,4,0,0,6,medium,technical,0
0.61,0.42,103,8,0,0,2,medium,marketing,0
0.61,0.42,103,8,0,0,2,medium,marketing,0
0.61,0.42,104,2,0,0,3,medium,hr,0
0.61,0.42,104,2,0,0,3,medium,hr,0
0.31,0.42,108,4,0,0,4,low,technical,0
0.31,0.42,108,4,0,0,4,low,technical,0
0.6,0.42,109,6,0,0,2,low,sales,0
0.6,0.42,109,6,0,0,2,low,sales,0
0.12,0.42,110,2,0,0,3,medium,accounting,0
0.32,0.42,114,3,0,0,6,medium,product_mng,0
0.62,0.42,124,2,0,0,2,low,sales,0
0.38,0.42,127,4,0,0,2,medium,sales,0
0.74,0.42,131,3,0,0,3,medium,sales,0
0.54,0.42,138,3,1,0,3,medium,support,0
0.45,0.42,140,2,0,0,4,low,sales,0
0.91,0.42,142,3,1,0,2,medium,sales,0
0.61,0.42,145,4,0,1,3,medium,sales,0
0.61,0.42,145,4,0,1,3,medium,sales,0
0.4,0.42,146,2,1,0,3,medium,hr,0
0.57,0.42,154,5,0,0,4,high,RandD,0
0.45,0.42,156,7,0,0,4,high,product_mng,0
0.45,0.42,156,7,0,0,4,high,product_mng,0
0.44,0.42,159,4,0,0,4,medium,technical,0
0.31,0.42,169,5,0,0,2,low,IT,0
0.27,0.42,173,7,0,0,6,medium,sales,0
0.27,0.42,173,7,0,0,6,medium,sales,0
0.44,0.42,178,3,0,0,3,high,support,0
0.16,0.42,182,3,1,0,3,low,product_mng,0
0.16,0.42,182,3,1,0,3,low,product_mng,0
0.95,0.42,189,2,1,0,3,medium,hr,0
0.36,0.42,192,2,0,0,2,low,technical,0
0.59,0.42,196,3,0,0,3,low,product_mng,0
0.44,0.42,199,2,0,0,2,medium,support,0
0.36,0.42,206,5,0,0,3,high,marketing,0
0.24,0.42,210,5,0,0,5,low,accounting,0
0.24,0.42,210,5,0,0,5,low,accounting,0
0.76,0.42,217,2,0,0,3,low,sales,0
0.54,0.42,218,3,0,0,6,medium,technical,0
0.65,0.42,220,2,0,0,6,low,product_mng,0
0.98,0.42,226,3,0,0,5,low,technical,0
0.15,0.42,238,3,0,0,4,medium,sales,0
0.57,0.42,248,4,0,0,2,medium,IT,0
0.87,0.42,252,5,0,0,5,low,sales,0
0.29,0.42,253,3,0,0,6,medium,hr,0
0.2,0.42,256,5,0,0,4,low,hr,0
0.2,0.42,256,5,0,0,4,low,hr,0
0.49,0.42,266,3,0,0,2,low,accounting,0
0.21,0.42,269,4,1,0,4,medium,RandD,0
0.48,0.42,275,6,1,1,2,medium,hr,0
0.48,0.42,275,6,1,1,2,medium,hr,0
0.64,0.42,283,5,0,0,5,low,marketing,0
0.34,0.42,287,5,1,0,6,low,IT,0
0.48,0.43,96,3,0,0,3,low,support,0
0.71,0.43,100,6,0,0,2,medium,technical,0
0.62,0.43,106,2,0,1,2,high,sales,0
0.69,0.43,113,8,0,0,5,medium,technical,0
0.69,0.43,113,8,0,0,5,medium,technical,0
0.91,0.43,117,5,1,0,4,medium,technical,0
0.47,0.43,120,3,0,0,3,high,sales,0
0.55,0.43,120,6,1,0,3,medium,accounting,0
0.4,0.43,128,3,0,0,3,medium,support,0
0.58,0.43,132,3,0,0,6,low,sales,0
0.53,0.43,139,3,0,0,2,high,support,0
0.39,0.43,154,3,0,0,3,low,marketing,0
0.37,0.43,155,2,0,0,2,low,IT,0
0.38,0.43,160,6,0,0,2,medium,sales,0
0.68,0.43,161,2,1,0,3,medium,sales,0
0.29,0.43,162,4,0,0,3,medium,IT,0
0.13,0.43,165,5,0,0,4,low,sales,0
0.57,0.43,167,3,0,0,3,medium,sales,0
0.56,0.43,169,3,0,0,2,medium,sales,0
0.59,0.43,171,3,0,0,3,medium,hr,0
0.59,0.43,173,3,0,0,3,low,technical,0
0.29,0.43,175,3,0,0,6,low,sales,0
0.21,0.43,175,2,1,0,5,high,sales,0
0.21,0.43,175,2,1,0,5,high,sales,0
0.52,0.43,176,3,0,0,3,low,support,0
0.52,0.43,176,3,0,0,3,low,support,0
0.5,0.43,184,2,0,0,3,medium,sales,0
0.38,0.43,188,7,0,0,3,medium,sales,0
0.38,0.43,188,7,0,0,3,medium,sales,0
0.54,0.43,192,2,0,0,3,low,support,0
0.58,0.43,194,2,1,0,3,medium,RandD,0
0.52,0.43,199,2,0,0,2,medium,sales,0
0.51,0.43,204,4,0,0,3,medium,product_mng,0
0.49,0.43,210,4,1,0,5,medium,technical,0
0.26,0.43,215,4,1,0,4,low,support,0
0.63,0.43,222,4,0,0,2,high,product_mng,0
0.58,0.43,224,6,0,0,3,low,hr,0
0.14,0.43,238,3,0,0,2,low,hr,0
0.47,0.43,246,3,0,0,4,low,support,0
0.47,0.43,246,3,0,0,4,low,support,0
0.84,0.43,246,4,0,0,6,medium,technical,0
0.21,0.43,249,3,0,0,2,low,marketing,0
0.45,0.43,253,4,0,0,4,medium,support,0
0.7,0.43,253,3,0,0,6,high,IT,0
0.46,0.43,258,3,0,0,4,low,support,0
0.77,0.43,265,6,0,0,4,high,support,0
0.64,0.43,269,3,0,0,5,medium,sales,0
0.78,0.43,275,3,0,0,4,low,IT,0
0.78,0.43,275,3,0,0,4,low,IT,0
0.95,0.43,283,2,0,0,6,low,technical,0
0.78,0.44,97,4,0,0,3,medium,IT,0
0.99,0.44,104,6,0,0,6,low,technical,0
0.36,0.44,114,4,0,0,4,medium,technical,0
0.52,0.44,119,2,0,0,3,low,sales,0
0.76,0.44,121,4,0,0,3,low,IT,0
0.44,0.44,126,2,0,0,3,medium,hr,0
0.3,0.44,128,4,1,0,5,medium,technical,0
0.3,0.44,129,2,0,0,3,medium,technical,0
0.56,0.44,130,3,0,0,2,low,support,0
0.7,0.44,131,2,0,0,2,low,sales,0
0.84,0.44,131,5,1,0,5,medium,support,0
0.84,0.44,131,5,1,0,5,medium,support,0
0.38,0.44,137,3,0,0,3,medium,sales,0
0.44,0.44,141,7,1,1,2,high,management,0
0.44,0.44,141,7,1,1,2,high,management,0
0.68,0.44,152,5,0,0,5,low,support,0
0.54,0.44,153,2,0,0,3,low,technical,0
0.54,0.44,153,2,0,0,3,low,technical,0
0.98,0.44,154,6,1,0,4,medium,sales,0
0.98,0.44,154,6,1,0,4,medium,sales,0
0.36,0.44,155,3,0,0,5,medium,technical,0
0.36,0.44,155,3,0,0,5,medium,technical,0
0.21,0.44,163,6,0,0,4,high,sales,0
0.68,0.44,165,3,0,0,5,medium,RandD,0
0.22,0.44,166,6,0,0,3,low,hr,0
0.81,0.44,166,4,1,0,4,low,support,0
0.74,0.44,169,3,1,0,5,medium,technical,0
0.28,0.44,170,2,0,0,4,low,support,0
0.28,0.44,170,2,0,0,4,low,support,0
0.42,0.44,183,2,0,0,3,medium,product_mng,0
0.42,0.44,183,2,0,0,3,medium,product_mng,0
0.93,0.44,190,5,0,0,5,medium,technical,0
0.76,0.44,192,4,1,0,4,low,technical,0
0.73,0.44,194,6,0,0,2,medium,hr,0
0.67,0.44,194,2,1,0,4,low,sales,0
0.15,0.44,199,2,0,0,3,low,management,0
0.71,0.44,207,4,0,0,2,low,sales,0
0.67,0.44,212,4,0,0,5,low,sales,0
0.43,0.44,213,3,0,0,5,low,sales,0
0.79,0.44,236,3,0,0,2,medium,IT,0
0.79,0.44,236,3,0,0,2,medium,IT,0
0.47,0.44,255,5,1,0,5,low,support,0
0.92,0.44,260,8,0,0,3,low,sales,0
0.92,0.44,260,8,0,0,3,low,sales,0
0.81,0.45,98,3,0,0,6,low,sales,0
0.39,0.45,100,8,1,0,3,medium,product_mng,0
0.39,0.45,100,8,1,0,3,medium,product_mng,0
0.37,0.45,100,5,1,0,6,medium,sales,0
0.6,0.45,104,4,0,0,3,low,IT,0
0.6,0.45,104,4,0,0,3,low,IT,0
0.4,0.45,113,3,0,0,4,low,support,0
0.61,0.45,114,3,0,0,3,high,sales,0
0.17,0.45,119,3,0,0,2,medium,sales,0
0.44,0.45,124,3,0,0,2,low,sales,0
0.37,0.45,126,3,0,0,2,medium,support,1
0.37,0.45,126,3,0,0,2,medium,support,1
0.37,0.45,126,3,0,0,2,medium,support,1
0.36,0.45,127,3,0,0,2,low,accounting,1
0.36,0.45,127,3,0,0,2,low,accounting,1
0.38,0.45,127,3,0,0,2,low,technical,1
0.78,0.45,128,2,0,0,4,low,sales,1
0.38,0.45,129,3,0,0,2,medium,support,1
0.38,0.45,129,3,0,0,2,medium,support,1
0.58,0.45,131,2,0,0,3,low,technical,0
0.79,0.45,131,6,0,0,5,low,support,0
0.37,0.45,131,3,0,0,2,low,sales,1
0.37,0.45,131,3,0,0,2,low,sales,1
0.37,0.45,131,3,0,0,2,low,sales,1
0.45,0.45,131,3,0,0,2,low,sales,1
0.44,0.45,132,3,0,0,2,low,sales,1
0.44,0.45,132,3,0,0,2,low,sales,1
0.44,0.45,132,3,0,0,2,low,sales,1
0.38,0.45,132,3,0,0,2,medium,sales,1
0.45,0.45,132,3,0,0,2,low,marketing,1
0.45,0.45,132,3,0,0,2,low,marketing,1
0.45,0.45,132,3,0,0,2,low,marketing,1
0.44,0.45,133,2,1,0,3,medium,support,0
0.39,0.45,134,3,0,0,2,medium,technical,1
0.39,0.45,134,3,0,0,2,medium,technical,1
0.39,0.45,134,3,0,0,2,medium,technical,1
0.64,0.45,135,6,0,0,3,low,sales,0
0.43,0.45,135,3,0,0,2,low,marketing,1
0.43,0.45,135,3,0,0,2,low,marketing,1
0.43,0.45,135,3,0,0,2,low,marketing,1
0.36,0.45,135,3,1,0,2,high,support,0
0.54,0.45,137,3,1,0,4,medium,management,0
0.46,0.45,138,3,0,1,2,low,IT,1
0.46,0.45,138,3,0,1,2,low,IT,1
0.53,0.45,140,5,0,0,5,low,technical,0
0.43,0.45,140,3,0,0,2,low,sales,1
0.39,0.45,140,3,0,0,2,medium,sales,1
0.39,0.45,140,3,0,0,2,medium,sales,1
0.4,0.45,140,3,0,0,2,low,IT,1
0.45,0.45,140,3,0,0,2,low,product_mng,1
0.4,0.45,142,3,0,0,2,low,technical,1
0.37,0.45,142,3,0,0,2,low,IT,1
0.37,0.45,142,3,0,0,2,low,IT,1
0.37,0.45,142,3,0,0,2,low,IT,1
0.72,0.45,143,6,0,0,4,medium,product_mng,0
0.46,0.45,143,3,0,0,2,low,technical,1
0.41,0.45,144,3,1,0,2,low,product_mng,1
0.41,0.45,144,3,1,0,2,low,product_mng,1
0.41,0.45,144,3,1,0,2,low,product_mng,1
0.52,0.45,145,3,0,0,2,low,technical,0
0.45,0.45,145,3,0,0,2,medium,sales,1
0.43,0.45,146,3,0,0,2,medium,IT,1
0.76,0.45,147,2,0,0,4,medium,product_mng,0
0.76,0.45,147,2,0,0,4,medium,product_mng,0
0.37,0.45,149,3,0,0,2,low,sales,1
0.37,0.45,149,3,0,0,2,low,sales,1
0.41,0.45,150,3,0,0,2,medium,support,1
0.38,0.45,151,3,0,0,2,low,technical,1
0.37,0.45,151,3,0,0,2,low,support,1
0.37,0.45,151,3,0,0,2,low,support,1
0.37,0.45,151,3,0,0,2,low,support,1
0.45,0.45,154,3,1,0,2,medium,support,1
